STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,1,Vòng,8c272,,,,,,,,,,
2,610,Xi 2-3 màu,3,Nhẫn,7c456,,,,,,,,,,
3,610,Xi 2-3 màu,1,Dây,6c002,,,,,,,,,,
4,610,Xi 2-3 màu,4,Lắc,30c028,,,,,,,,,,
5,610,Xi 2-3 màu,1,Kiềng,7c208,,,,,,,,,,
6,750,Xi trắng,1,Xoàn,5c308,,,,,,,,,,
7,Ý,Xi trắng,19,Dây,29c194,,,,,,,,,,
8,Ý,Xi trắng,20,Nhẫn,28c194,,,,,,,,,,
9,Ý,Xi trắng,12,Mặt,7c458,,,,,,,,,,
10,Ý,Xi trắng,5,Lắc,13c492,,,,,,,,,,
11,Ý,Xi trắng,30,Bông,21c162,,,,,,,,,,
12,Ý,Xi hồng,2,Bông,2c568,,,,,,,,,,
13,416,Xi trắng,22,Bông,12c028,,,,,,,,,,
14,416,Xi trắng,3,Vòng,5c43,,,,,,,,,,
15,416,Xi trắng,7,Lắc,6c352,,,,,,,,,,
16,416,Xi trắng,13,Mặt,7c008,,,,,,,,,,
17,416,Xi trắng,21,Nhẫn,22c164,,,,,,,,,,
18,416,Xi trắng,12,Dây,18c124,,,,,,,,,,
